

 ********* STATS AS OF 10/03/2024***********

 **** IPL Stats - most runs (minm 500 runs) ****

              Player Name         Runs in IPL   Matches   Innings    Strike Rate     Sixes     Fours   Average  Highest score   Fifties   IPL-Hundreds  Profile-ID
             Virat Kohli                 8004       252       244         131.97       272       705     38.67            113        55              8        1413
          Shikhar Dhawan                 6768       222       221         127.12       152       768     35.07            106        51              2        1446
            Rohit Sharma                 6628       257       252         131.14       280       599     29.72            109        43              2         576
            David Warner                 6565       184       184         139.77       235       664     40.52            126        62              4        1739
            Suresh Raina                 5528       205       200         136.73       203       506     32.52            100        39              1         413
                MS Dhoni                 5243       264       229         137.54       252       363     39.13             84        24              0         265
           AB de Villiers                5162       184       170         151.69       251       413     39.71            133        40              3         370
             Chris Gayle                 4965       142       141         148.96       357       405     39.72            175        31              6         247
           Robin Uthappa                 4952       205       197         130.35       182       481     27.51             88        27              0         527
          Dinesh Karthik                 4842       257       234         135.36       161       466     26.32             97        22              0         145
                KL Rahul                 4683       132       123         134.61       187       400     45.47            132        37              4        8733
          Ajinkya Rahane                 4642       185       171         123.42       103       478     30.14            105        30              2        1447
           Faf du Plessis                4571       145       138         136.37       166       421     35.99             96        37              0        7825
            Sanju Samson                 4419       167       163         138.96       206       352     30.69            119        25              3        8271
           Ambati Rayudu                 4348       203       187         127.54       173       359     28.05            100        22              1        6311
          Gautam Gambhir                 4218       154       152         123.91        59       491     31.01             93        36              0         308
            Shane Watson                 3874       145       141         137.91       190       376     30.99            117        21              4         158
           Manish Pandey                 3850       171       159         121.11       110       334     29.17            114        22              1        1836
        Suryakumar Yadav                 3594       150       135         145.33       130       385     32.09            103        24              2        7915
             Jos Buttler                 3582       107       106         147.53       161       355     38.11            124        19              7        2258
          Kieron Pollard                 3412       189       171         147.32       223       218     28.67             87        16              0         657
            Rishabh Pant                 3284       111       110         148.93       154       296     35.31            128        18              1       10744
            Shubman Gill                 3216       103       100          135.7        95       310     37.84            129        20              4       11808
            Yusuf Pathan                 3204       174       154         142.97       158       262     29.13            100        13              1         790
          Quinton de Kock                3157       107       107         134.23       123       316     31.26            140        23              2        8520
