

 ********* STATS AS OF 10/07/2024***********


 **** Highest T20i Batting Average (minm 500 runs) ****
              Player Name     Batting Average   Matches   Innings      Runs   Batting S.R.  Hundreds   Fifties     Fours     Sixes  Profile-ID        Country
         Muhammad Tanveer                48.5        45        41      1358          139.0         0        10        95        81       14778          Qatar
            Manish Pandey               44.31        39        33       709         126.16         0         3        49        19        1836          India
         Suryakumar Yadav               42.43        72        69      2461         169.02         4        20       222       139        7915          India
               Babar Azam               41.04       123       116      4145         129.09         3        36       440        72        8359       Pakistan
       Ryan ten Doeschate                41.0        24        23       533         132.92         0         3        27        19         640    Netherlands
          Muhammad Waseem                40.3        57        57      2136         155.12         3        16       172       132       18987    United Arab
         Jean-Paul Duminy               38.68        81        75      1934         126.24         0        11       138        71         211   South Africa
             Devon Conway               38.05        50        46      1408         127.77         0        10       135        37        9838    New Zealand
           Michael Hussey               37.95        38        30       721         136.29         0         4        58        25        4772      Australia
          Kevin Pietersen               37.94        37        36      1176         141.52         0         7       119        32         395        England
                 KL Rahul               37.75        72        68      2265         139.13         2        22       191        99        8733          India
                 MS Dhoni                37.6        98        85      1617         126.13         0         2       116        52         265          India
          Virandeep Singh               36.98        84        82      2441         126.02         1        16       203       104       12163       Malaysia
              Dawid Malan               36.38        62        60      1892         132.49         1        16       194        62        6660        England
         Yashasvi Jaiswal               36.15        23        22       723         164.32         1         5        82        38       13940          India
              Jos Buttler               35.87       124       114      3264          146.3         1        24       300       137        2258        England
                 Joe Root               35.72        32        30       893         126.31         0         5        92        16        8019        England
         Brendon McCullum               35.67        71        70      2140         136.22         2        13       199        91         201    New Zealand
           Faf du Plessis               35.53        50        50      1528         134.39         1        10       140        50        7825   South Africa
     Dipendra Singh Airee               35.31        71        63      1695          144.5         1         9       130        71       11155          Nepal
              Irfan Karim               35.06        58        51      1227         101.15         0         8       108        15        8077          Kenya
           Jacques Kallis               35.05        25        23       666         119.35         0         5        56        20         213   South Africa
            Rilee Rossouw               34.86        29        27       767         159.79         2         3        69        39        2244   South Africa
     Abdul Waheed Ghaffar               34.63        35        32       935         128.61         0         5       107        28       17359   Saudi Arabia
                Tim David               34.29        51        45      1166         163.08         0         6        99        63       13169      Australia
            Steven Taylor                34.0        30        27       816         135.32         1         4        89        35        8670  United States
           Kamau Leverock               33.68        29        29       842         148.76         1         4        67        51       13740        Bermuda
             David Warner               33.44       110       110      3277         142.48         1        28       338       122        1739      Australia
             David Miller               33.41       125       109      2439         140.66         2         7       160       117        6349   South Africa
             Andries Gous               33.28        20        19       599         148.27         0         5        54        32       11959  United States
              Travis Head               33.12        38        37      1093          160.5         0         5       114        53        8497      Australia
           Rassie van der               33.08        48        44      1191         127.79         0         8        70        55        9554   South Africa
          Kane Williamson               33.01        93        90      2575         122.97         0        18       245        58        6326    New Zealand
           Glenn Phillips               32.88        78        69      1874         142.08         2        10       135        90       10693    New Zealand
            Cameron White                32.8        47        44       984         132.97         0         5        71        44         282      Australia
              Avanish Pai               32.42        23        23       616         108.64         0         4        55         7       15676      Gibraltar
        Farhaan Behardien               32.38        38        30       518         128.22         0         1        37        16        8283   South Africa
          Riazat Ali Shah               32.33        61        53      1261         120.79         0         4        86        57       19507         Uganda
              Josh Inglis               32.33        26        25       679         160.14         2         0        63        28       10637      Australia
          Gerhard Erasmus               32.29        65        63      1550          123.9         1        11       124        55        7973        Namibia
          Alishan Sharafu                32.0        30        27       672         139.71         0         4        69        27       14227    United Arab
           Mitchell Marsh               31.94        65        62      1629         135.41         0         9       139        76        6250      Australia
       Mahela Jayawardene               31.77        55        55      1493         133.18         1         9       173        33         101      Sri Lanka
             Graeme Smith               31.68        33        33       982         127.53         0         5       123        26         207   South Africa
         Navneet Dhaliwal               31.52        37        36       977         126.39         0         7        77        43       13565         Canada
          Quinton de Kock               31.51        92        91      2584         138.33         1        16       264       103        8520   South Africa
         Kumar Sangakkara               31.41        56        53      1382         119.55         0         8       139        20         104      Sri Lanka
        Richie Berrington               31.39        96        88      2229         131.58         1        10       189        76        1398       Scotland
              Colin Munro               31.35        65        62      1724         156.44         3        11       132       107        8085    New Zealand
             Rohit Sharma               31.34       159       151      4231         140.89         5        32       383       205         576          India
             Shoaib Malik               31.22       124       111      2435         125.64         0         9       196        69          33       Pakistan
           Nick Greenwood               30.89        31        31       865         144.41         0         4        91        25       15567         Jersey
             Shreyas Iyer               30.67        51        47      1104         136.13         0         8        90        44        9428          India
             D Arcy Short               30.57        23        23       642         118.89         0         4        71        15       11050      Australia
            Collins Obuya               30.39        76        71      1793         120.42         0        10       132        87         550          Kenya
           Marcus Stoinis               30.24        71        58      1149         145.63         0         4        91        57        8989      Australia
       Michael Richardson               30.18        25        24       513         103.64         0         2        47         5        6545        Germany
        Ravija Sandaruwan               29.96        60        60      1708         148.52         2        10       148        96       17692         Kuwait
            Glenn Maxwell               29.89       113       104      2600         154.76         5        11       217       134        7662      Australia
           Jonny Bairstow               29.84        80        72      1671         137.53         0        10       148        76        6507        England
              Babar Hayat               29.65        79        76      1927         132.71         2        10       119       120        9979      Hong Kong
         Hamza Saleem Dar               29.61        27        25       533         135.28         0         3        40        25       14748          Spain
            Shaiman Anwar               29.45        31        31       854         121.65         0         6        65        37        9837    United Arab
               Evin Lewis                29.3        53        52      1465         151.97         2        10       108       111        8579    West Indies
           Marlon Samuels               29.29        67        65      1611         116.23         0        10       144        69         356    West Indies
              Chirag Suri               29.25        31        31       819         115.35         0         7        84        18        9829    United Arab
             Shane Watson               29.24        58        56      1462         145.33         1        10       115        83         158      Australia
           Ibrahim Zadran               29.08        44        44      1105         107.28         0         8        97        24       12173    Afghanistan
              Zeeshan Ali               28.96        44        35       695         139.56         0         4        63        27       13552      Hong Kong
         Mohammad Shahzad                28.9        72        72      1994          132.4         1        11       221        76        3014    Afghanistan
                Max ODowd               28.82        74        72      1931         120.76         1        13       198        47       10424    Netherlands
             Mark Chapman               28.67        76        68      1548         132.65         1         8       133        57        9976    New Zealand
              Eoin Morgan               28.58       115       106      2458         136.18         0        14       186       120         624        England
                Asif Khan               28.52        28        28       656         139.28         0         3        46        39       15793    United Arab
              Ravi Bopara               28.44        38        35       711          118.7         0         3        54        17         571        England
             Rohit Paudel               28.25        56        54      1243         121.27         0         7        99        40       12140          Nepal
          Nicholas Kirton                28.2        25        25       564         119.75         0         2        36        20       13568         Canada
     Tillakaratne Dilshan               28.19        80        79      1889         120.47         1        13       223        33         105      Sri Lanka
               Ben Cooper               28.16        57        55      1239         124.77         0         9       118        38        9532    Netherlands
             Yuvraj Singh               28.02        58        51      1177         136.38         0         8        77        74          69          India
             Meet Bhavsar                28.0        54        52      1316          133.2         0        10       108        46       15444         Kuwait
              Chris Gayle               27.93        79        75      1899         137.51         2        14       158       124         247    West Indies
           Shikhar Dhawan               27.92        68        66      1759         126.36         0        11       191        50        1446          India
           Tristan Stubbs               27.85        31        25       557         137.87         0         2        45        25       19243   South Africa
        Hazratullah Zazai               27.83        44        44      1141         132.83         1         3       108        65       12068    Afghanistan
           Dinesh Nakrani               27.81        59        49       890         128.61         0         3        59        56       19517         Uganda
          Pathum Nissanka                27.8        54        53      1418         118.76         0        11       145        32       13682      Sri Lanka
           Angelo Mathews               27.76        90        73      1416         120.51         0         6        92        50        1629      Sri Lanka
           Craig Williams               27.76        35        33       805          112.9         0         6        69        23        7970        Namibia
             Paras Khadka               27.55        33        32       799         128.25         1         4        82        26        9958          Nepal
         Karabo Motlhanka               27.45        38        37       906         109.95         0         6        98        18       15355       Botswana
           Gautam Gambhir               27.41        37        36       932         119.03         0         7       109        10         308          India
            Hardik Pandya                27.4       103        80      1562         142.78         0         4       116        81        9647          India
        Ravinderpal Singh               27.29        35        30       655         145.23         1         1        46        33       14807         Canada
            Michael Swart               27.23        25        24       599         114.97         0         4        50        16        7962    Netherlands
               Aqib Ilyas               27.14        56        55      1330         121.79         0        10       125        44       12235           Oman
              Kamran Khan                27.1        32        30       786         137.65         0         6        70        46       15609          Qatar
           Nikolaas Davin               27.03        36        36       919         137.16         0         5       100        32       10780        Namibia
                Yasir Ali               26.96        38        36       755         100.27         0         4        58        23       14746          Spain
              Rakep Patel               26.96        78        65      1375         134.67         0         7        99        81        1434          Kenya
            Towhid Hridoy               26.91        30        27       619         128.42         0         2        43        26       13223     Bangladesh
               Assad Vala               26.89        57        54      1237         118.37         0         8       113        37       10120      Papua New
             Bas de Leede               26.81        38        35       697         103.87         0         4        52        18       13273    Netherlands
